범죄분류,농임수산업,광업,제조업,건설업,도소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전자,경비원,외판원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,군인,학생,주부,무직자,미상
정보통신망이용촉진 및 정보보호 등에 관한법률,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,15,0,0,0,2,5,0,0,0,1,1,0,6,0,0,4,5,31,24
조세범처벌법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,6
주민등록법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,6,2,2,0,0,0,0,0,2,0,0,0,0,4,4
청소년보호법,0,0,0,0,3,0,14,2,10,0,0,0,0,0,0,40,0,0,0,5,0,0,0,0,0,0,1,20,0,83,0,0,0,0,0,0,0,0,0,13,4,12,11
축산물위생관리법,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
출입국관리법,5,0,2,3,1,6,0,0,1,0,0,0,0,0,0,22,0,0,4,0,26,0,0,4,50,1,17,2,145,137,0,0,0,1,0,1,124,0,0,17,3,222,232
통신비밀보호법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
특가법(도주차량),0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,4,1,0,3,0,0,19,0,0,1,16,13,0,0,0,0,0,0,2,0,0,2,1,14,12
폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
풍속영업의규제에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
학원의 설립운영 및 과외교습에 관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2
화물자동차 운수사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3
기타특별법,51,0,4,7,10,12,11,0,33,0,1,2,1,2,10,155,1,2,11,2,18,4,0,3,112,0,51,13,125,318,3,0,2,2,0,3,28,0,0,18,23,265,407
